,price,Volume,day_of_week,week_of_year,month_of_year,quarter_of_year,semester_of_year,lag_1_week,Vol_1_month,SMA20,SMA50,RSI,return
2020-02-10,326.7294921875,3248.0,0,7,2,1,1,314.847412109375,2310.0,320.55232696533204,314.37470581054686,71.76857090709984,0.002621489848691816
2020-02-11,329.1227111816406,2239.0,1,7,2,1,1,320.69769287109375,1246.0,321.11022186279297,314.80049987792967,70.28116462175154,0.00732477187203906
2020-02-12,331.0425109863281,3930.0,2,7,2,1,1,323.4975891113281,1307.0,321.761328125,315.3658380126953,71.67734981439277,0.005833082128531508
2020-02-13,332.1370849609375,18518.0,3,7,2,1,1,326.0520935058594,95151.0,322.4086227416992,316.0055419921875,84.32528269710976,0.00330644536059177
2020-02-14,332.1000061035156,18152.0,4,7,2,1,1,325.8752136230469,18075.0,322.91502838134767,316.56963012695314,98.88725059954513,-0.00011163720975704283
2020-02-17,333.1924133300781,1299.0,0,8,2,1,1,326.7294921875,1921.0,323.4578140258789,317.1736083984375,98.86027983373188,0.003289392371230493
2020-02-18,330.97711181640625,3900.0,1,8,2,1,1,329.1227111816406,3558.0,323.9145751953125,317.63575073242185,83.95250383033627,-0.006648715351982748
2020-02-19,334.45001220703125,2479.0,2,8,2,1,1,331.0425109863281,3081.0,324.5152252197266,318.1898291015625,84.6355770103051,0.010492871762538769
2020-02-20,331.05169677734375,3590.0,3,8,2,1,1,332.1370849609375,3706.0,325.0008056640625,318.6979730224609,65.00953745627521,-0.010160906878914577
2020-02-21,328.3931884765625,2487.0,4,8,2,1,1,332.1000061035156,18206.0,325.27980041503906,319.1521948242187,56.57902500713647,-0.008030492900839237
2020-02-24,317.80670166015625,10049.0,0,9,2,1,1,333.1924133300781,4198.0,325.3796356201172,319.3683331298828,34.54585048511257,-0.032237230210278245
2020-02-25,312.4585876464844,4878.0,1,9,2,1,1,330.97711181640625,2471.0,325.0296401977539,319.46435913085935,23.817885062409374,-0.016828197724385374
2020-02-26,311.2724914550781,7585.0,2,9,2,1,1,334.45001220703125,1482.0,324.58307495117185,319.4749090576172,18.204957055214734,-0.003796010858079568
2020-02-27,297.123291015625,10221.0,3,9,2,1,1,331.05169677734375,70847.0,323.60636444091796,319.2196868896484,10.3417572055493,-0.045455993792805516
