Close_CW8.PA,High_CW8.PA,Low_CW8.PA,Open_CW8.PA,Volume_CW8.PA,dat
266.9256897,267.1300049,263.0418091,263.0499878,1014,2/15/2019
266.624115,267.3399963,266.260498,266.980011,617,2/18/2019
266.75,267,266,267,7162,2/19/2019
266.9177856,267.3500061,266.0499878,266.5,2535,2/20/2019
266.9898987,268,265.8521118,268,1416,2/21/2019
268.0050049,268.0050049,266.3900146,266.7200012,873,2/22/2019
269.2430115,269.5476074,268.6000061,269.0599976,4181,2/25/2019
268.5375977,268.7380981,267.0374146,267.7999878,1090,2/26/2019
267.315094,267.5018921,266.4432068,267.1799927,4956,2/27/2019
267.2569885,267.6601868,266.3750916,266.7200012,1407,2/28/2019
267.8128052,269.0296936,267.561615,268.3099976,7803,3/1/2019
268.8623962,270.3684082,268.8623962,270.1498108,4734,3/4/2019
269.4457092,269.4457092,268,268.7200012,3466,3/5/2019
268.0982971,269.3442993,267.8659058,269.0286865,2048,3/6/2019
267.9208069,268.7038879,266.8099976,267,994,3/7/2019
265.0599976,266.9746094,264.7290955,266.5115967,3088,3/8/2019
268.9299927,269,266.240387,266.9400024,3749,3/11/2019
269.0447998,269.7825012,268.8760071,269.7792053,2174,3/12/2019
270.4443054,270.848114,268.8833923,269.0499878,1128,3/13/2019
270.9587097,271.053894,270,270.3399963,2519,3/14/2019
272,272,270.4999084,271.1611938,2517,3/15/2019
271.9433899,272.336792,271.446106,271.7951965,3279,3/18/2019
273.7000122,273.9240112,271.8500061,271.8500061,2974,3/19/2019
270.7000122,272.582489,270.7000122,272.3197937,1561,3/20/2019
272.6235962,273.0103149,269.3976135,269.9849854,920,3/21/2019
270.6469116,273.7453003,270.5499878,272.9599915,1264,3/22/2019
269.0848999,269.7583923,268.2564087,269.1418152,3497,3/25/2019
271.5172119,272.5,270,270,6596,3/26/2019
271.4100037,273.1000061,270.5252075,273.1000061,1118,3/27/2019
272.1163025,273.1600037,271.6581116,271.7197876,884,3/28/2019
274,274.2018127,273.1831055,273.5,1096,3/29/2019
277.25,277.3395081,275.0000916,276,2072,4/1/2019
278.0638123,278.4204102,277.5,277.6400146,1780,4/2/2019
279.4498901,279.5491028,278.3565979,278.8999939,5910,4/3/2019
278.6965942,279.2806091,278.1632996,278.413208,2553,4/4/2019
279.9671936,280.2948914,278.9500122,279.2373047,1712,4/5/2019
278.9718933,279.6719055,278.175293,279.6600037,1732,4/8/2019
277.6034851,279.3660889,277.3800049,279.3660889,9924,4/9/2019
278.2218933,278.7710876,277.8305969,277.881897,1228,4/10/2019
278.6657104,279.0559082,277.7196045,278.6455078,4222,4/11/2019
278.7033081,279.2029114,278,278.1000061,3193,4/12/2019
279.0192871,279.5700073,278.5899963,279.5155029,1380,4/15/2019
280.282196,280.5397949,279.4942017,279.4942017,2702,4/16/2019
279.3374023,280.7999878,279.2958069,279.916687,1510,4/17/2019
280.5700073,281.1095886,278.7401123,278.9632874,5633,4/18/2019
283.3822937,283.5,280.5646057,280.9899902,3839,4/23/2019
283.6062927,283.7882996,282.7836914,283.1394958,1050,4/24/2019
284.2518921,284.7000122,282.9659119,284.1588135,1942,4/25/2019
284.3717957,284.3717957,283.2999878,283.7600098,2346,4/26/2019
285.2554932,285.5,284.3999939,284.5,9386,4/29/2019
283.6142883,284.5203857,283.0386047,284.4111023,1808,4/30/2019
282.4890137,283.8471069,282.4890137,283.5822144,1911,5/2/2019
284.5486145,284.7951965,283.1624146,283.5636902,1013,5/3/2019
282.0953979,282.2200012,279.5515137,280.1900024,8815,5/6/2019
279.5515137,282.8331909,279.0398865,282.721405,2661,5/7/2019
